2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/doxia/doxia/1.11.1/doxia-1.11.1.pom (18 kB at 334 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/doxia/doxia-logging-api/1.11.1/doxia-logging-api-1.11.1.pom
2025.11.08 17:32:07 INFO  Progress (1): 829 B
2025.11.08 17:32:07 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/doxia/doxia-logging-api/1.11.1/doxia-logging-api-1.11.1.pom (1.6 kB at 36 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-archiver/3.6.0/maven-archiver-3.6.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 796 B
2025.11.08 17:32:07 INFO  Progress (1): 2.1 kB
2025.11.08 17:32:07 INFO  Progress (1): 3.9 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-archiver/3.6.0/maven-archiver-3.6.0.pom (3.9 kB at 98 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-shared-components/36/maven-shared-components-36.pom
2025.11.08 17:32:07 INFO  Progress (1): 772 B
2025.11.08 17:32:07 INFO  Progress (1): 2.3 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.4 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.9 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-shared-components/36/maven-shared-components-36.pom (4.9 kB at 119 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-io/3.4.0/plexus-io-3.4.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 1.2 kB
2025.11.08 17:32:07 INFO  Progress (1): 3.8 kB
2025.11.08 17:32:07 INFO  Progress (1): 6.0 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-io/3.4.0/plexus-io-3.4.0.pom (6.0 kB at 163 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-utils/3.4.2/plexus-utils-3.4.2.pom
2025.11.08 17:32:07 INFO  Progress (1): 720 B
2025.11.08 17:32:07 INFO  Progress (1): 2.3 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.7 kB
2025.11.08 17:32:07 INFO  Progress (1): 8.2 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-utils/3.4.2/plexus-utils-3.4.2.pom (8.2 kB at 211 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus/8/plexus-8.pom
2025.11.08 17:32:07 INFO  Progress (1): 694 B
2025.11.08 17:32:07 INFO  Progress (1): 2.7 kB
2025.11.08 17:32:07 INFO  Progress (1): 6.4 kB
2025.11.08 17:32:07 INFO  Progress (1): 9.2 kB
2025.11.08 17:32:07 INFO  Progress (1): 11 kB 
2025.11.08 17:32:07 INFO  Progress (1): 15 kB
2025.11.08 17:32:07 INFO  Progress (1): 20 kB
2025.11.08 17:32:07 INFO  Progress (1): 24 kB
2025.11.08 17:32:07 INFO  Progress (1): 25 kB
2025.11.08 17:32:07 INFO                     
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus/8/plexus-8.pom (25 kB at 553 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-archiver/4.4.0/plexus-archiver-4.4.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 1.2 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.0 kB
2025.11.08 17:32:07 INFO  Progress (1): 6.3 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-archiver/4.4.0/plexus-archiver-4.4.0.pom (6.3 kB at 165 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/commons/commons-compress/1.21/commons-compress-1.21.pom
2025.11.08 17:32:07 INFO  Progress (1): 753 B
2025.11.08 17:32:07 INFO  Progress (1): 1.9 kB
2025.11.08 17:32:07 INFO  Progress (1): 3.5 kB
2025.11.08 17:32:07 INFO  Progress (1): 6.8 kB
2025.11.08 17:32:07 INFO  Progress (1): 9.1 kB
2025.11.08 17:32:07 INFO  Progress (1): 11 kB 
2025.11.08 17:32:07 INFO  Progress (1): 14 kB
2025.11.08 17:32:07 INFO  Progress (1): 18 kB
2025.11.08 17:32:07 INFO  Progress (1): 20 kB
2025.11.08 17:32:07 INFO                     
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/commons/commons-compress/1.21/commons-compress-1.21.pom (20 kB at 328 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-archiver/4.6.0/plexus-archiver-4.6.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 1.2 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.1 kB
2025.11.08 17:32:07 INFO  Progress (1): 6.3 kB
2025.11.08 17:32:07 INFO  Progress (1): 6.5 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-archiver/4.6.0/plexus-archiver-4.6.0.pom (6.5 kB at 152 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/com/github/luben/zstd-jni/1.5.2-5/zstd-jni-1.5.2-5.pom
2025.11.08 17:32:07 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:07 INFO  Progress (1): 1.9 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/com/github/luben/zstd-jni/1.5.2-5/zstd-jni-1.5.2-5.pom (1.9 kB at 48 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-classworlds/2.7.0/plexus-classworlds-2.7.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 845 B
2025.11.08 17:32:07 INFO  Progress (1): 2.5 kB
2025.11.08 17:32:07 INFO  Progress (1): 5.7 kB
2025.11.08 17:32:07 INFO  Progress (1): 7.6 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-classworlds/2.7.0/plexus-classworlds-2.7.0.pom (7.6 kB at 212 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-sbt/zinc_2.13/1.8.0/zinc_2.13-1.8.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 1.3 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.1 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/scala-sbt/zinc_2.13/1.8.0/zinc_2.13-1.8.0.pom (4.1 kB at 115 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-sbt/zinc-core_2.13/1.8.0/zinc-core_2.13-1.8.0.pom
2025.11.08 17:32:07 INFO  Progress (1): 1.3 kB
2025.11.08 17:32:07 INFO  Progress (1): 5.3 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/scala-sbt/zinc-core_2.13/1.8.0/zinc-core_2.13-1.8.0.pom (5.3 kB at 143 kB/s)
